KEY,Model,SEED,Time,activations,batch_sizes,effective_nvar,first_hidden_layer,hidden_size,method_var_sel,n_layers,nb_epochs,nvar,optimizers,training_accuracy,validation_accuracy
NEURAL_NETWORK_ISIS_4_741,NEURAL_NETWORK,741,2018-08-29 14:12:49.524900,relu,250,4,5,2,ISIS,1,200,1,adam,0.8171948062376307,0.8280657395701644
NEURAL_NETWORK_ISIS_4_741,NEURAL_NETWORK,741,2018-08-29 14:12:49.524900,relu,250,4,5,5,ISIS,1,200,1,adam,0.8171948062376307,0.8280657395701644
NEURAL_NETWORK_ISIS_4_741,NEURAL_NETWORK,741,2018-08-29 14:12:49.524900,relu,250,4,5,20,ISIS,1,200,1,adam,0.8171948062376307,0.8280657395701644
NEURAL_NETWORK_ISIS_4_741,NEURAL_NETWORK,741,2018-08-29 14:12:49.524900,relu,5000,4,5,2,ISIS,1,200,1,adam,0.8171948062376307,0.8280657395701644
NEURAL_NETWORK_ISIS_4_741,NEURAL_NETWORK,741,2018-08-29 14:12:49.524900,relu,5000,4,5,5,ISIS,1,200,1,adam,0.8171948062376307,0.8280657395701644
NEURAL_NETWORK_ISIS_4_741,NEURAL_NETWORK,741,2018-08-29 14:12:49.524900,relu,5000,4,5,20,ISIS,1,200,1,adam,0.8171948062376307,0.8280657395701644
NEURAL_NETWORK_ISIS_4_741,NEURAL_NETWORK,741,2018-08-29 14:12:49.524900,relu,250,4,5,2,ISIS,4,200,1,adam,0.8234762889083647,0.8302329781470109
NEURAL_NETWORK_ISIS_4_741,NEURAL_NETWORK,741,2018-08-29 14:12:49.524900,relu,250,4,5,5,ISIS,4,200,1,adam,0.8295169479626282,0.8383601228101859
NEURAL_NETWORK_ISIS_4_741,NEURAL_NETWORK,741,2018-08-29 14:12:49.524900,relu,250,4,5,20,ISIS,4,200,1,adam,0.8302594874476671,0.8367346938775511
NEURAL_NETWORK_ISIS_4_741,NEURAL_NETWORK,741,2018-08-29 14:12:49.524900,relu,5000,4,5,2,ISIS,4,200,1,adam,0.8302594874476671,0.8367346938775511
NEURAL_NETWORK_ISIS_4_741,NEURAL_NETWORK,741,2018-08-29 14:12:49.524900,relu,5000,4,5,5,ISIS,4,200,1,adam,0.8302594874476671,0.8367346938775511
NEURAL_NETWORK_ISIS_4_741,NEURAL_NETWORK,741,2018-08-29 14:12:49.524900,relu,5000,4,5,20,ISIS,4,200,1,adam,0.8302594874476671,0.8367346938775511
NEURAL_NETWORK_ISIS_4_741,NEURAL_NETWORK,741,2018-08-29 14:12:49.524900,relu,250,4,5,2,ISIS,10,200,1,adam,0.8302594874476671,0.8367346938775511
NEURAL_NETWORK_ISIS_4_741,NEURAL_NETWORK,741,2018-08-29 14:12:49.524900,relu,250,4,5,5,ISIS,10,200,1,adam,0.8302594874476671,0.8367346938775511
NEURAL_NETWORK_ISIS_4_741,NEURAL_NETWORK,741,2018-08-29 14:12:49.524900,relu,250,4,5,20,ISIS,10,200,1,adam,0.8303798992560517,0.8390825356691349
NEURAL_NETWORK_ISIS_4_741,NEURAL_NETWORK,741,2018-08-29 14:12:49.524900,relu,5000,4,5,2,ISIS,10,200,1,adam,0.8303798992560517,0.8390825356691349
NEURAL_NETWORK_ISIS_4_741,NEURAL_NETWORK,741,2018-08-29 14:12:49.524900,relu,5000,4,5,5,ISIS,10,200,1,adam,0.8303798992560517,0.8390825356691349
NEURAL_NETWORK_ISIS_4_741,NEURAL_NETWORK,741,2018-08-29 14:12:49.524900,relu,5000,4,5,20,ISIS,10,200,1,adam,0.8303798992560517,0.8390825356691349
NEURAL_NETWORK_ISIS_4_741,NEURAL_NETWORK,741,2018-08-29 14:12:49.524900,relu,250,4,20,2,ISIS,1,200,1,adam,0.8303798992560517,0.8390825356691349
NEURAL_NETWORK_ISIS_4_741,NEURAL_NETWORK,741,2018-08-29 14:12:49.524900,relu,250,4,20,5,ISIS,1,200,1,adam,0.8303798992560517,0.8390825356691349
NEURAL_NETWORK_ISIS_4_741,NEURAL_NETWORK,741,2018-08-29 14:12:49.524900,relu,250,4,20,20,ISIS,1,200,1,adam,0.8303798992560517,0.8390825356691349
NEURAL_NETWORK_ISIS_4_741,NEURAL_NETWORK,741,2018-08-29 14:12:49.524900,relu,5000,4,20,2,ISIS,1,200,1,adam,0.8303798992560517,0.8390825356691349
NEURAL_NETWORK_ISIS_4_741,NEURAL_NETWORK,741,2018-08-29 14:12:49.524900,relu,5000,4,20,5,ISIS,1,200,1,adam,0.8303798992560517,0.8390825356691349
NEURAL_NETWORK_ISIS_4_741,NEURAL_NETWORK,741,2018-08-29 14:12:49.524900,relu,5000,4,20,20,ISIS,1,200,1,adam,0.8303798992560517,0.8390825356691349
NEURAL_NETWORK_ISIS_4_741,NEURAL_NETWORK,741,2018-08-29 14:12:49.524900,relu,250,4,20,2,ISIS,4,200,1,adam,0.8303798992560517,0.8390825356691349
NEURAL_NETWORK_ISIS_4_741,NEURAL_NETWORK,741,2018-08-29 14:12:49.524900,relu,250,4,20,5,ISIS,4,200,1,adam,0.8303798992560517,0.8390825356691349
NEURAL_NETWORK_ISIS_4_741,NEURAL_NETWORK,741,2018-08-29 14:12:49.524900,relu,250,4,20,20,ISIS,4,200,1,adam,0.8303798992560517,0.8390825356691349
NEURAL_NETWORK_ISIS_4_741,NEURAL_NETWORK,741,2018-08-29 14:12:49.524900,relu,5000,4,20,2,ISIS,4,200,1,adam,0.8303798992560517,0.8390825356691349
NEURAL_NETWORK_ISIS_4_741,NEURAL_NETWORK,741,2018-08-29 14:12:49.524900,relu,5000,4,20,5,ISIS,4,200,1,adam,0.8303798992560517,0.8390825356691349
NEURAL_NETWORK_ISIS_4_741,NEURAL_NETWORK,741,2018-08-29 14:12:49.524900,relu,5000,4,20,20,ISIS,4,200,1,adam,0.8303798992560517,0.8390825356691349
NEURAL_NETWORK_ISIS_4_741,NEURAL_NETWORK,741,2018-08-29 14:12:49.524900,relu,250,4,20,2,ISIS,10,200,1,adam,0.8303798992560517,0.8390825356691349
NEURAL_NETWORK_ISIS_4_741,NEURAL_NETWORK,741,2018-08-29 14:12:49.524900,relu,250,4,20,5,ISIS,10,200,1,adam,0.8307812719506673,0.8379989163807116
NEURAL_NETWORK_ISIS_4_741,NEURAL_NETWORK,741,2018-08-29 14:12:49.524900,relu,250,4,20,20,ISIS,10,200,1,adam,0.8307812719506673,0.8379989163807116
NEURAL_NETWORK_ISIS_4_741,NEURAL_NETWORK,741,2018-08-29 14:12:49.524900,relu,5000,4,20,2,ISIS,10,200,1,adam,0.8307812719506673,0.8379989163807116
NEURAL_NETWORK_ISIS_4_741,NEURAL_NETWORK,741,2018-08-29 14:12:49.524900,relu,5000,4,20,5,ISIS,10,200,1,adam,0.8307812719506673,0.8379989163807116
NEURAL_NETWORK_ISIS_4_741,NEURAL_NETWORK,741,2018-08-29 14:12:49.524900,relu,5000,4,20,20,ISIS,10,200,1,adam,0.8307812719506673,0.8379989163807116
NEURAL_NETWORK_ISIS_9_741,NEURAL_NETWORK,741,2018-08-31 12:44:34.670479,relu,250,9,5,2,ISIS,1,200,20,adam,0.8548435649946658,0.8598519053639154
NEURAL_NETWORK_ISIS_9_741,NEURAL_NETWORK,741,2018-08-31 12:44:34.670479,relu,250,9,5,5,ISIS,1,200,20,adam,0.8548435649946658,0.8598519053639154
NEURAL_NETWORK_ISIS_9_741,NEURAL_NETWORK,741,2018-08-31 12:44:34.670479,relu,250,9,5,20,ISIS,1,200,20,adam,0.8548435649946658,0.8598519053639154
NEURAL_NETWORK_ISIS_9_741,NEURAL_NETWORK,741,2018-08-31 12:44:34.670479,relu,5000,9,5,2,ISIS,1,200,20,adam,0.8548435649946658,0.8598519053639154
NEURAL_NETWORK_ISIS_9_741,NEURAL_NETWORK,741,2018-08-31 12:44:34.670479,relu,5000,9,5,5,ISIS,1,200,20,adam,0.8548435649946658,0.8598519053639154
NEURAL_NETWORK_ISIS_9_741,NEURAL_NETWORK,741,2018-08-31 12:44:34.670479,relu,5000,9,5,20,ISIS,1,200,20,adam,0.8548435649946658,0.8598519053639154
NEURAL_NETWORK_ISIS_9_741,NEURAL_NETWORK,741,2018-08-31 12:44:34.670479,relu,250,9,5,2,ISIS,4,200,20,adam,0.8548435649946658,0.8598519053639154
NEURAL_NETWORK_ISIS_9_741,NEURAL_NETWORK,741,2018-08-31 12:44:34.670479,relu,250,9,5,5,ISIS,4,200,20,adam,0.8548435649946658,0.8598519053639154
NEURAL_NETWORK_ISIS_9_741,NEURAL_NETWORK,741,2018-08-31 12:44:34.670479,relu,250,9,5,20,ISIS,4,200,20,adam,0.8548435649946658,0.8598519053639154
NEURAL_NETWORK_ISIS_9_741,NEURAL_NETWORK,741,2018-08-31 12:44:34.670479,relu,5000,9,5,2,ISIS,4,200,20,adam,0.8548435649946658,0.8598519053639154
NEURAL_NETWORK_ISIS_9_741,NEURAL_NETWORK,741,2018-08-31 12:44:34.670479,relu,5000,9,5,5,ISIS,4,200,20,adam,0.8548435649946658,0.8598519053639154
NEURAL_NETWORK_ISIS_9_741,NEURAL_NETWORK,741,2018-08-31 12:44:34.670479,relu,5000,9,5,20,ISIS,4,200,20,adam,0.8548435649946658,0.8598519053639154
NEURAL_NETWORK_ISIS_9_741,NEURAL_NETWORK,741,2018-08-31 12:44:34.670479,relu,250,9,5,2,ISIS,10,200,20,adam,0.8548435649946658,0.8598519053639154
NEURAL_NETWORK_ISIS_9_741,NEURAL_NETWORK,741,2018-08-31 12:44:34.670479,relu,250,9,5,5,ISIS,10,200,20,adam,0.8548435649946658,0.8598519053639154
