Model,Treshold,Accuracy,AUC,Precision,Recall,Specificity,F-score,Method,n_variables,Time,SEED,KEY
TREE,0.1,0.5622742378269037,0.7898366774813763,0.5342638593170885,0.9779157043879908,0.14579114839456175,0.6910092304554032,RANDOM_FOREST,100,2018-08-22 10:30:48.635158,741,TREE_RANDOM_FOREST_100_741
TREE,0.2,0.6306892067620286,0.7898366774813763,0.5819790538100397,0.9304272517321016,0.33034422910037603,0.7160630970895355,RANDOM_FOREST,100,2018-08-22 10:30:48.635158,741,TREE_RANDOM_FOREST_100_741
TREE,0.30000000000000004,0.6806819823724896,0.7898366774813763,0.6326984126984126,0.8630196304849884,0.4979751229389644,0.7301257784833314,RANDOM_FOREST,100,2018-08-22 10:30:48.635158,741,TREE_RANDOM_FOREST_100_741
TREE,0.4,0.7027886143620864,0.7898366774813763,0.674090571640683,0.7863741339491916,0.6190338443737344,0.7259160559626916,RANDOM_FOREST,100,2018-08-22 10:30:48.635158,741,TREE_RANDOM_FOREST_100_741
TREE,0.5,0.7142753937292299,0.7898366774813763,0.7295044001852711,0.6820150115473441,0.7466010992189759,0.7049608355091384,RANDOM_FOREST,100,2018-08-22 10:30:48.635158,741,TREE_RANDOM_FOREST_100_741
TREE,0.6,0.711963589076723,0.7898366774813763,0.7803622497616778,0.5907909930715936,0.8333815446919294,0.6724718639612256,RANDOM_FOREST,100,2018-08-22 10:30:48.635158,741,TREE_RANDOM_FOREST_100_741
TREE,0.7000000000000001,0.6922410056350239,0.7898366774813763,0.8280865715691097,0.4859988452655889,0.8989007810240093,0.6125159177733309,RANDOM_FOREST,100,2018-08-22 10:30:48.635158,741,TREE_RANDOM_FOREST_100_741
TREE,0.8,0.6533015460193614,0.7898366774813763,0.8770811193765498,0.3573903002309469,0.9498119757014752,0.5078453491949543,RANDOM_FOREST,100,2018-08-22 10:30:48.635158,741,TREE_RANDOM_FOREST_100_741
TREE,0.9,0.6043201849443722,0.7898366774813763,0.9186381996537796,0.22979214780600465,0.979606595313856,0.3676249855674865,RANDOM_FOREST,100,2018-08-22 10:30:48.635158,741,TREE_RANDOM_FOREST_100_741
REGULARIZED_METHODS,0.1,0.5231902904204595,0.7892961681656725,0.5122497759187332,0.9898960739030024,0.0555394851026902,0.6751329001772002,RANDOM_FOREST,100,2018-08-22 13:29:36.493379,741,REGULARIZED_METHODS_RANDOM_FOREST_100_741
REGULARIZED_METHODS,0.2,0.5758560901603814,0.7892961681656725,0.5432948308347669,0.9572748267898384,0.1936650274804744,0.6931800365821792,RANDOM_FOREST,100,2018-08-22 13:29:36.493379,741,REGULARIZED_METHODS_RANDOM_FOREST_100_741
REGULARIZED_METHODS,0.30000000000000004,0.6361074989163416,0.7892961681656725,0.5894597407512536,0.8992494226327945,0.3724327451547584,0.7121220780705263,RANDOM_FOREST,100,2018-08-22 13:29:36.493379,741,REGULARIZED_METHODS_RANDOM_FOREST_100_741
REGULARIZED_METHODS,0.4,0.6861002745268024,0.7892961681656725,0.6494272821936827,0.8101905311778291,0.5617587503615852,0.7209556226318156,RANDOM_FOREST,100,2018-08-22 13:29:36.493379,741,REGULARIZED_METHODS_RANDOM_FOREST_100_741
REGULARIZED_METHODS,0.5,0.7218610027452679,0.7892961681656725,0.7312894499549143,0.7023672055427251,0.7413942724905987,0.7165365925489621,RANDOM_FOREST,100,2018-08-22 13:29:36.493379,741,REGULARIZED_METHODS_RANDOM_FOREST_100_741
