Variable,LASSO,DECISION_TREE,RANDOM_FOREST,GBM,Elastic_Net
BIG_CL_X,740.57,740.5726,740.5726,740.5726,740.57
BIG_CL_Z,865.93,865.9258,865.9258,865.9258,865.93
BIG_CL_X_POS,-3957.81,-3957.8125,-3957.8125,-3957.8125,-3957.81
BIG_CL_Z_POS,-4205.37,-4205.369,-4205.369,-4205.369,-4205.37
BIG3_CL_X,962.5,962.4963,962.4963,962.4963,962.5
BIG3_CL_Z,1065.01,1065.0067,1065.0067,1065.0067,1065.01
BIG3_CL_X_POS,-4207.85,-4207.8472,-4207.8472,-4207.8472,-4207.85
BIG3_CL_Z_POS,-4225.74,-4225.7369,-4225.7369,-4225.7369,-4225.74
MERGED_NCX,-6504.74,-6504.7394,-6504.7394,-6504.7394,-6504.74
MERGED_NCZ,-6746.28,-6746.2793,-6746.2793,-6746.2793,-6746.28
MERGED_NCMX,193.77,193.7696,193.7696,193.7696,193.77
MERGED_NCMZ,472.57,472.5731,472.5731,472.5731,472.57
MERGED_NCMTX,453.01,453.0118,453.0118,453.0118,453.01
MERGED_NCMTZ,1029.77,1029.7738,1029.7738,1029.7738,1029.77
RX,-1309.2,-1309.1996,-1309.1996,-1309.1996,-1309.2
RZ,-1253.81,-1253.8058,-1253.8058,-1253.8058,-1253.81
I_COR,-248.18,-248.1769,-248.1769,-248.1769,-248.18
ACLUTVALUE,-76338.84,-76338.8387,-76338.8387,-76338.8387,-76338.84
NCLUSTX,-6245.5,-6245.4963,-6245.4963,-6245.4963,-6245.5
NCLUSTZ,-6189.65,-6189.6517,-6189.6517,-6189.6517,-6189.65
FPLAN,-2089.49,-2089.4889,-2089.4889,-2089.4889,-2089.49
LPLAN,-7429.51,-7429.5096,-7429.5096,-7429.5096,-7429.51
TCX,28161.47,28161.466,28161.466,28161.466,28161.47
TCZ,38244.38,38244.3762,38244.3762,38244.3762,38244.38
TWX,-8894.07,-8894.0714,-8894.0714,-8894.0714,-8894.07
TWZ,-12426.09,-12426.0932,-12426.0932,-12426.0932,-12426.09
MCAL_NEVETOT_X,-962.87,-962.8724,-962.8724,-962.8724,-962.87
MCAL_NEVETOT_Z,-657.57,-657.5721,-657.5721,-657.5721,-657.57
MCAL_NEVETOT_THR_X,-518.93,-518.9269,-518.9269,-518.9269,-518.93
